DATE,AMTMNO
2015-11-01,445703.0
2015-12-01,439237.0
2016-01-01,439864.0
2016-02-01,430664.0
2016-03-01,433442.0
2016-04-01,442914.0
2016-05-01,439577.0
2016-06-01,431399.0
2016-07-01,435826.0
2016-08-01,440397.0
2016-09-01,441079.0
2016-10-01,453867.0
2016-11-01,441828.0
2016-12-01,454311.0
2017-01-01,453147.0
2017-02-01,452766.0
2017-03-01,457555.0
2017-04-01,457825.0
2017-05-01,455275.0
2017-06-01,472648.0
2017-07-01,455539.0
2017-08-01,461856.0
2017-09-01,476345.0
2017-10-01,472563.0
2017-11-01,480900.0
2017-12-01,489350.0
2018-01-01,481873.0
2018-02-01,493481.0
2018-03-01,497308.0
2018-04-01,494350.0
2018-05-01,499354.0
2018-06-01,499951.0
2018-07-01,498246.0
2018-08-01,509334.0
2018-09-01,514541.0
2018-10-01,503155.0
2018-11-01,500392.0
2018-12-01,501352.0
2019-01-01,501716.0
2019-02-01,496780.0
2019-03-01,503295.0
2019-04-01,497166.0
2019-05-01,493569.0
