Country Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,16.08717736,15.77432525,15.4533061,15.11687846,13.92241964,13.44541911,13.31608311,13.18019043,12.99307441,12.99411723,12.78247055,12.25570217,11.73147203,11.93268487,11.95221067,11.85220684,11.80679992,11.63907196,11.61535405,11.12225144,11.15358279,11.4
Canada,16.3035734,16.53140153,17.41038451,17.36792022,16.39440423,16.06470879,15.01587197,14.65933582,13.73720209,12.9415691,12.24836864,10.94279649,10.3928568,10.35068836,10.29712044,10.37893185,9.949292028,9.779467184,10.33750674,,,
France,14.6741472,14.66680869,14.44340788,14.47755794,14.03042517,13.58509008,13.09391378,12.68471772,12.24929993,11.7271803,11.62968228,11.10455837,10.58989208,10.32712554,10.395998,10.36157533,10.35434248,10.280426,10.43366363,10.28302305,9.993886878,9.863838612
Germany,20.29764779,20.49845657,20.14354345,20.72866269,20.50563112,19.97741356,20.0616194,20.2796593,20.31414341,20.92827745,21.09337387,20.2489714,17.87776188,19.96755889,20.56897215,20.42153387,20.18388389,20.46665237,20.68546932,21.08711132,21.06015854,20.82767277
Italy,18.31599608,18.25384335,17.74358321,17.51132908,17.10739676,16.75271747,16.10021244,15.88976988,15.53842637,15.59514681,15.94500155,15.43445005,13.70812987,14.2272943,14.18074877,13.81122134,13.84404989,13.91352914,14.39880166,14.76592237,14.88993601,14.99095466
Japan,23.42198945,22.90037696,22.47131637,22.55820135,21.25379298,20.88371743,21.11037102,21.33245317,21.64485794,21.61389023,22.07604006,21.4282765,19.14615088,20.83301439,19.665716,19.73152426,19.43625645,19.73129704,20.81332184,20.6752634,20.72718047,
United Kingdom,15.28094647,14.54342953,13.57638694,12.97142034,12.05762486,11.380474,10.70290539,10.1578698,9.903200929,9.449949587,9.026677617,9.048130265,8.70608042,8.900726063,8.872479091,8.745958049,8.985906809,8.897979987,9.032887286,8.937032501,8.971721224,8.919198158
